"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-23",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","74",",,0,","44",",,0","18",",,0","38",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-24",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","71",",,0,","45",",,0","23",",,0","40",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-25",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","69",",,0,","44",",,0","25",",,0","41",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-26",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","67",",,0,","44",",,0","26",",,0","42",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-27",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","66",",,0,","42",",,0","25",",,0","36",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-02-28",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,",,,"37",",,0","17",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-01",,,,,,,,,"0.00","P,,0,1600","0.0","P,,0,","64",",,0,","41",",,0","17",",,0","35",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-02",,,,,,,,,"0.17",",,0,1600","2.0",",,0,","66",",,0,","35",",,0","24",",,0","32",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-03",,,,,,,,,"0.29",",,0,1600","3.0",",,0,","69",",,0,","33",",,0","25",",,0","31",",,0,1600",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1990-03-04",,,,,,,,,"0.08",",,0,1600","2.0",",,0,","67",",,0,","39",",,0","20",",,0","36",",,0,1600",,,,,,,,,,,,
